wikidataID,name,country,field,wiki_title_vi,wiki_url_vi,summary_vi,image
Q10840477,Đào Trọng Thi,Vietnam,toán học,%C4%90%C3%A0o_Tr%E1%BB%8Dng_Thi,,,
Q216350,Ngô Bảo Châu,Vietnam,toán học,Ng%C3%B4_B%E1%BA%A3o_Ch%C3%A2u,,,
Q10800113,Nguyễn Đình Ngọc,Vietnam,toán học,Nguy%E1%BB%85n_%C4%90%C3%ACnh_Ng%E1%BB%8Dc,,,
Q205345,Shimomura Osamu,Japan,sinh học,Shimomura Osamu,https://vi.wikipedia.org/wiki/Shimomura_Osamu,"Shimomura Osamu (tiếng Nhật: 下 村 修; 27 tháng 8 năm 1928 – 19 tháng 10 năm 2018) là nhà hóa học người Mỹ gốc Nhật. Ông cùng với Martin Chalfie và Roger Y. Tsien giành Giải Nobel Hóa học năm 2008 nhờ sự khám phá đầu tiên về GFP và một loạt các phát triển quan trọng dẫn tới việc sử dụng nó như một công cụ quan trọng trong sinh học.


== Chú thích ==",https://upload.wikimedia.org/wikipedia/commons/2/2f/Osamu_Shimomura-press_conference_Dec_06th%2C_2008-2.jpg
Q873653,Gaisi Takeuti,Japan,toán học,,,,
Q2541951,Kentaro Yano,Japan,toán học,Kentaro Yano,https://vi.wikipedia.org/wiki/Kentaro_Yano,,
Q2382771,Sōichi Kakeya,Japan,toán học,S%C5%8Dichi_Kakeya,,,
Q115757320,Masanobu Taniguchi,Japan,toán học,,,,
Q102359125,Akira Kaneko,Japan,toán học,,,,
Q4121026,Kenji Ueno,Japan,toán học,,,,
Q103250144,Felipe Yukihide Yasumura,Japan,toán học,,,,
Q6837920,Michio Kuga,Japan,toán học,,,,
Q11553790,Takahiro Kawai,Japan,toán học,,,,
Q100491171,Satoru Fujishige,Japan,khoa học máy tính,,,,
Q7496384,Shigeru Mukai,Japan,toán học,,,,
Q2504766,Humiaki Huzita,Japan,toán học,,,,
Q67498650,Kyuya Masuda,Japan,toán học,,,,
Q4858343,Tomio Kubota,Japan,toán học,,,,
Q11459803,Shin-ya Koyama,Japan,toán học,,,,
Q6862791,Minakata Kumagusu,Japan,sinh học,,,,
Q976582,Kikuchi Dairoku,Japan,toán học,,,,
Q91999895,Hirotaka Komine,Japan,sinh học,,,,
Q106479571,Takehiro Tokuda,Japan,khoa học máy tính,,,,
Q371515,Hiraku Nakajima,Japan,toán học,,,,
Q104772972,Yusuke Kobayashi,Japan,khoa học máy tính,Yusuke Kobayashi,https://vi.wikipedia.org/wiki/Yusuke_Kobayashi,,
Q60990046,Jun Rokui,Japan,khoa học máy tính,,,,
Q1713224,Jun-Ichi Igusa,Japan,toán học,,,,
Q21015011,Fujisawa Rikitarō,Japan,toán học,Fujisawa_Rikitar%C5%8D,,,
Q62069633,Emma Haruka Iwao,Japan,khoa học máy tính,,,,
Q11678208,Nobushige Kurokawa,Japan,toán học,,,,
Q1542902,Shoichiro Sakai,Japan,toán học,,,,
Q455616,Itō Kiyoshi,Japan,toán học,It%C5%8D_Kiyoshi,,,
Q28685112,Hisamatsu Nakano,Japan,viễn thông,,,,
Q2272131,Yoshiki Sasai,Japan,sinh học,,,,
Q333918,Kodaira Kunihiko,Japan,toán học,Kodaira Kunihiko,https://vi.wikipedia.org/wiki/Kodaira_Kunihiko,"Kodaira Kunihiko (小平 邦彦, こだいら くにひこ, Tiểu Bình Bang Ngạn) (16 tháng 3 năm 1915 - 26 tháng 7 năm 1997) là một nhà toán học người Nhật Bản với những nghiên cứu nổi bật trong lĩnh vực hình học đại số và lý thuyết các đa tạp phức, và là người sáng lập lên trường phái các nhà hình học đại số Nhật Bản. Ông được trao huy chương Fields năm 1954 và trở thành người Nhật Bản đầu tiên giành được giải thưởng này.


== Tuổi trẻ ==
Kodaira sinh ra ở Tokyo. Ông tốt nghiệp trường đại học Tokyo năm 1938 với tấm bằng toán học và cũng tại trường đại học này ông tốt nghiệp với tấm bằng vật lý năm 1941. Trong thời gian chiến tranh thế giới lần hai ông nghiên cứu cô lập với thế giới toán học, nhưng ông đã có thể nắm bắt được lý thuyết Hodge vào thời điểm đó. Ông hoàn thành luận án tiến sĩ tại đại học Tokyo năm 1949, với nhan đề của luận án là Các trường điều hòa trong các đa tạp Riemann. Ông tham dự vào nghiên cứu mật mã trong năm 1944, tại thời điểm khó khăn của một con người, trong khi vẫn giữ một vị trí hàn lâm tại đại học Tokyo.


== Xem thêm ==
Lý thuyết phổ của các phương trình vi phân thường
Định lý triệt tiêu Kodaira
Ánh xạ Kodaira–Spencer
Kích thước Kodaira
Định lý nhúng Kodaira


== Sách do ông viết ==
K. Kodaira (1975). W. L. Baily (biên tập). Collected Works Vols I, II, III. Iwanami Shoten, Princeton University Press.
K. Kodaira (2004). Complex Manifolds and Deformation of Complex Structures (Classics in Mathematics). Springer.
K. Kodaira (2007). Complex Analysis. Cambridge University Press. ISBN 978-0521809375.


== Tham khảo ==


== Liên kết ngoài ==
Kodaira Kunihiko tại Dự án Phả hệ Toán học
O'Connor, John J.; Robertson, Edmund F., ""Kodaira Kunihiko"", Bộ lưu trữ lịch sử toán học MacTutor, Đại học St. Andrews
D. C. Spencer (1998). ""Kodaira Kunihiko (1915-1997)"" (PDF). Notices of the AMS. Quyển 45 số 3. tr. 388–389.
F. Hirzebruch (1998). ""Kodaira Kunihiko: Mathematician, Friend, and Teacher"" (PDF). Notices of the AMS. Quyển 45 số 11. tr. 1456–1462.
""Special Issue to Honor Professor Kunihiko Kodaira on his 85th birthday"". Asian Journal of Mathematics. Quyển 4 số 1. 2000. Bản gốc lưu trữ ngày 28 tháng 3 năm 2009. Truy cập ngày 16 tháng 9 năm 2010.",https://upload.wikimedia.org/wikipedia/commons/7/75/Kodaira_Kunihiko.jpg
