link,name,type
/wiki/1901,1901,UNKNOWN
/wiki/T%E1%BA%ADp_tin:WilhelmR%C3%B6ntgen.JPG,Tập tin:WilhelmRöntgen.JPG,UNKNOWN
/wiki/Wilhelm_R%C3%B6ntgen,Wilhelm Röntgen,PERSON
/wiki/%C4%90%E1%BA%BF_qu%E1%BB%91c_%C4%90%E1%BB%A9c,Đế quốc Đức,UNKNOWN
/wiki/Tia_X,Tia X,UNKNOWN
#cite_note-8,Trang Chính,UNKNOWN
/wiki/1902,1902,UNKNOWN
/wiki/T%E1%BA%ADp_tin:H_A_Lorentz_(Nobel).jpg,Tập tin:H A Lorentz (Nobel).jpg,UNKNOWN
/wiki/Hendrik_Lorentz,Hendrik Lorentz,PERSON
/wiki/H%C3%A0_Lan,Hà Lan,PLACE
/wiki/T%E1%BB%AB_h%E1%BB%8Dc,Từ học,UNKNOWN
/wiki/Hi%E1%BB%87u_%E1%BB%A9ng_Zeeman,Hiệu ứng Zeeman,UNKNOWN
#cite_note-9,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Pieter_Zeeman.jpg,Tập tin:Pieter Zeeman.jpg,UNKNOWN
/wiki/Pieter_Zeeman,Pieter Zeeman,PERSON
/wiki/1903,1903,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Paul_Nadar_-_Henri_Becquerel.jpg,Tập tin:Paul Nadar - Henri Becquerel.jpg,UNKNOWN
/wiki/Henri_Becquerel,Henri Becquerel,PERSON
/wiki/Ph%C3%A1p,Pháp,PLACE
/wiki/Ph%C3%B3ng_x%E1%BA%A1,Phóng xạ,UNKNOWN
#cite_note-N1903-10,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:PierreCurie.jpg,Tập tin:PierreCurie.jpg,UNKNOWN
/wiki/Pierre_Curie,Pierre Curie,PERSON
/wiki/Marie_Curie,Marie Curie,PERSON
/wiki/Ba_Lan,Ba Lan,UNKNOWN
/wiki/1904,1904,UNKNOWN
/wiki/T%E1%BA%ADp_tin:John_William_Strutt.jpg,Tập tin:John William Strutt.jpg,UNKNOWN
"/wiki/John_William_Strutt,_Nam_t%C6%B0%E1%BB%9Bc_Rayleigh_th%E1%BB%A9_3","John William Strutt, Nam tước Rayleigh thứ 3",PERSON
/wiki/V%C6%B0%C6%A1ng_qu%E1%BB%91c_Li%C3%AAn_hi%E1%BB%87p_Anh_v%C3%A0_B%E1%BA%AFc_Ireland,Vương quốc Liên hiệp Anh và Bắc Ireland,PLACE
/wiki/Agon,Argon,PLACE
#cite_note-11,Trang Chính,UNKNOWN
/wiki/1905,1905,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Phillipp_Lenard_in_1900.jpg,Tập tin:Phillipp Lenard in 1900.jpg,UNKNOWN
/wiki/Philipp_Lenard,Philipp Lenard,PERSON
/wiki/Bratislava,Bratislava,UNKNOWN
/wiki/V%C6%B0%C6%A1ng_qu%E1%BB%91c_Hungary_(1920%E2%80%931946),Vương quốc Hungary (1920–1946),PERSON
/wiki/Tia_%C3%A2m_c%E1%BB%B1c,Tia âm cực,UNKNOWN
#cite_note-12,Trang Chính,UNKNOWN
/wiki/1906,1906,UNKNOWN
/wiki/T%E1%BA%ADp_tin:J.J_Thomson.jpg,Tập tin:J.J Thomson.jpg,UNKNOWN
/wiki/Joseph_John_Thomson,Joseph John Thomson,PERSON
/wiki/Ch%E1%BA%A5t_kh%C3%AD,Chất khí,UNKNOWN
#cite_note-13,Trang Chính,UNKNOWN
/wiki/1907,1907,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Albert_Abraham_Michelson2.jpg,Tập tin:Albert Abraham Michelson2.jpg,UNKNOWN
/wiki/Albert_Abraham_Michelson,Albert Abraham Michelson,PERSON
/wiki/Hoa_K%E1%BB%B3,Hoa Kỳ,UNKNOWN
/wiki/Strzelno,Strzelno,PLACE
/wiki/V%C6%B0%C6%A1ng_qu%E1%BB%91c_Ph%E1%BB%95,Vương quốc Phổ,UNKNOWN
/wiki/Th%C3%AD_nghi%E1%BB%87m_Michelson-Morley,Thí nghiệm Michelson-Morley,UNKNOWN
#cite_note-14,Trang Chính,UNKNOWN
/wiki/1908,1908,UNKNOWN
/wiki/T%E1%BA%ADp_tin:G_lippmann.jpg,Tập tin:G lippmann.jpg,UNKNOWN
/wiki/Gabriel_Lippmann,Gabriel Lippmann,PERSON
/wiki/Luxembourg,Luxembourg,PLACE
/wiki/Giao_thoa,Giao thoa,UNKNOWN
#cite_note-15,Trang Chính,UNKNOWN
/wiki/1909,1909,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Ferdinand_Braun.jpg,Tập tin:Ferdinand Braun.jpg,UNKNOWN
/wiki/Karl_Ferdinand_Braun,Karl Ferdinand Braun,PERSON
/wiki/Radio,Radio,UNKNOWN
#cite_note-16,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Guglielmo_Marconi.jpg,Tập tin:Guglielmo Marconi.jpg,UNKNOWN
/wiki/Guglielmo_Marconi,Guglielmo Marconi,PERSON
/wiki/V%C6%B0%C6%A1ng_qu%E1%BB%91c_%C3%9D,Vương quốc Ý,ORGANIZATION
/wiki/1910,1910,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Johannes_Diderik_van_der_Waals.jpg,Tập tin:Johannes Diderik van der Waals.jpg,UNKNOWN
/wiki/Johannes_Diderik_van_der_Waals,Johannes Diderik van der Waals,PERSON
/wiki/Ph%C6%B0%C6%A1ng_tr%C3%ACnh_tr%E1%BA%A1ng_th%C3%A1i,Phương trình trạng thái,UNKNOWN
/wiki/Ch%E1%BA%A5t_l%E1%BB%8Fng,Chất lỏng,UNKNOWN
#cite_note-17,Trang Chính,UNKNOWN
/wiki/1911,1911,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Wilhelm_Wien_1911.jpg,Tập tin:Wilhelm Wien 1911.jpg,UNKNOWN
/wiki/Wilhelm_Wien,Wilhelm Wien,PERSON
