(PERSON, Mất, UNKNOWN)
(PERSON, Trường lớp, UNKNOWN)
(PERSON, Quốc tịch, UNKNOWN)
(PERSON, Nổi tiếng vì, UNKNOWN)
(PERSON, Ảnh hưởng tới, UNKNOWN)
(PERSON, Giáo dục, ORGANIZATION)
(PERSON, Sinh, UNKNOWN)
(PERSON, Giải thưởng, UNKNOWN)
(PERSON, Nghề nghiệp, UNKNOWN)
(PERSON, Mất, PERSON)
(PERSON, Quốc tịch, PERSON)
(PERSON, Nơi công tác, PLACE)
(PERSON, Giải thưởng nổi bật, UNKNOWN)
(PERSON, Ảnh hưởng bởi, UNKNOWN)
(PERSON, Ảnh hưởng tới, PERSON)
(PERSON, Con cái, UNKNOWN)
(PERSON, Nơi công tác, ORGANIZATION)
(PERSON, Học vị, ORGANIZATION)
(PERSON, Sinh, PERSON)
(PERSON, Giải thưởng, PERSON)
(PERSON, Mất, PLACE)
(PERSON, Trường lớp, PLACE)
(PERSON, Các nghiên cứu sinh nổi tiếng, UNKNOWN)
(PERSON, Quốc tịch, PLACE)
(PERSON, Nghề nghiệp, PERSON)
(PERSON, Nổi tiếng vì, PLACE)
(PERSON, Trường lớp, ORGANIZATION)
(PERSON, Hôn nhân, PERSON)
(PERSON, Quốc tịch, ORGANIZATION)
(PERSON, Ảnh hưởng bởi, PERSON)
(PERSON, Mất, ORGANIZATION)
(PERSON, Nổi tiếng vì, ORGANIZATION)
(PERSON, Con cái, PERSON)
(PERSON, Sinh, PLACE)
(PERSON, Giải thưởng, PLACE)
(PERSON, Các nghiên cứu sinh nổi tiếng, PERSON)
(PERSON, Sinh, ORGANIZATION)
(PERSON, Giáo dục, UNKNOWN)
(PERSON, Người hướng dẫn luận án tiến sĩ, UNKNOWN)
(PERSON, Phối ngẫu, UNKNOWN)
(PERSON, Các sinh viên nổi tiếng, UNKNOWN)
(PERSON, Giải thưởng, ORGANIZATION)
(PERSON, Nghề nghiệp, ORGANIZATION)
(PERSON, Giải thưởng nổi bật, PLACE)
(PERSON, Nơi công tác, UNKNOWN)
(PERSON, Giải thưởng nổi bật, ORGANIZATION)
(PERSON, Giải thưởng, EVENT)
(PERSON, Sinh, EVENT)
(PERSON, Luận án, UNKNOWN)
(PERSON, Học vị, UNKNOWN)
(PERSON, Phối ngẫu, PERSON)
(PERSON, Người hướng dẫn luận án tiến sĩ, PERSON)
(PERSON, Các sinh viên nổi tiếng, PERSON)
(PERSON, Giải thưởng nổi bật, EVENT)
